body,brand,color,fuel,model_date,name,doors,production_date,configuration,transmission,engine_displacement,engine_power,description,mileage,features,drive_type,wheel,condition,owners,vehicle_title,custom,ownership,price,model
внедорожник,BMW,черный,бензин,2.0,,5,2019,,автомат,2.0,184.0,,9064.0,,4WD,левый,,1.0,,,,2990000,X4
внедорожник,BMW,черный,дизель,2.0,,5,2008,,,3.0,,,235000.0,,4WD,левый,,,,,,950000,X5
седан,BMW,серый,бензин,,,4,2004,,автомат,2.5,186.0,,215000.0,,4WD,левый,,5.0,,,,480000,3-Series
седан,BMW,серебристый,бензин,5.0,,4,2006,,автомат,2.5,218.0,,298000.0,,задний,левый,,3.0,,,,405000,5-Series
седан,BMW,серый,бензин,,,4,2011,,автомат,4.4,408.0,,115000.0,,задний,левый,,2.0,,,,1490000,5-Series
седан,BMW,,бензин,,,4,2005,,автомат,3.0,248.0,,,,задний,левый,,3.0,,,,560000,3-Series
купе,BMW,серый,бензин,1.0,,2,2017,,автомат,2.0,249.0,,49653.0,,4WD,левый,,2.0,,,,2247000,4-Series
седан,BMW,серый,бензин,7.0,,4,2017,,автомат,2.0,249.0,,37545.0,,4WD,левый,,3.0,,,,2847000,5-Series
внедорожник,BMW,белый,бензин,1.0,xDrive 35i AT,5,2012,,автомат,3.0,306.0,,122000.0,"['Зимняя комплектация', 'Нагнетатель', 'Гидроусилитель руля', 'Изменение передаточного отношения руля (VGS/VGRS)', 'Алюминиевые колесные диски', 'Самонесущие шины', 'Система рекуперативного торможения', 'Биксеноновые фары', 'Омыватели передних фар', 'Передние противотуманные фары', 'Датчик света', 'Датчики дождя', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Регулируемый люк', 'Рейлинги', 'Окраска кузова металлик', 'Кожаная оплетка рулевого колеса', 'Регулируемая рулевая колонка', 'Управление аудиосистемой на руле', 'Цветной многофункциональный дисплей', 'Кнопка запуска двигателя', 'Тканевая обивка салона', 'Кожаная обивка салона', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Подогрев задних сидений', 'Память расположения сиденья', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Обогрев рулевого колеса', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности пассажира с функцией деактивации', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Крепление ISOFIX', 'Антиблокировочная система (ABS)', 'Система распределения тормозного усилия (EBD)', 'Вспомогательная система торможения (BAS)', 'Система электронного контроля устойчивости (ESP)', 'Антипробуксовочная система (TCS)', 'Переключатель режимов движения', 'Круиз-контроль', 'Система управления дальним светом', 'Система адаптивного освещения дороги (AFS)', 'Парктроник', 'Кондиционер', 'Климат-контроль', 'CD-плейер', 'CD-чейнджер', 'DVD-чейнджер', 'Поддержка MP3', 'Hands free', 'Встроенный монитор для пассажиров', 'Система навигации', 'Камера заднего обзора', 'Самозатемняющееся зеркало заднего вида', 'Бортовой компьютер', 'Сигнализация', 'Спутниковая противоугонная система']",4WD,левый,,1.0,,,,1449000,X6
седан,BMW,черный,дизель,6.0,,4,2014,,автомат,2.0,184.0,,184211.0,,задний,левый,,4.0,,,,1054000,5-Series
седан,BMW,серебристый,дизель,6.0,320d AT xDrive Sport Line,4,2018,,автомат,2.0,190.0,,11000.0,"['Зимняя комплектация', 'Нагнетатель', 'Система старт-стоп', 'Электроусилитель руля', 'Изменение передаточного отношения руля (VGS/VGRS)', 'Алюминиевые колесные диски', 'Самонесущие шины', 'Светодиодные фары', 'Светодиодные ходовые огни', 'Омыватели передних фар', 'Передние противотуманные фары', 'Светодиодные противотуманные фары', 'Cветодиодные задние фонари', 'Дополнительный стоп-сигнал', 'Датчик света', 'Датчики дождя', 'Боковые зеркала в цвет кузова', 'Боковые зеркала с повторителями указателей поворота', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Ручки дверей в цвет кузова', 'Электропривод багажника', 'Бесконтактное открытие багажника', 'Обогрев заднего стекла', 'Регулируемый люк', 'Окраска кузова металлик', 'Кожаная оплетка рулевого колеса', 'Регулируемая рулевая колонка', 'Телескопическая регулировка руля', 'Вертикальная регулировка руля', 'Управление аудиосистемой на руле', 'Кнопка запуска двигателя', 'Кожаная обивка салона', 'Комбинированная обивка салона', 'Спортивные сиденья', 'Разделительный подлокотник спереди', 'Разделительный подлокотник сзади', 'Карманы на спинках передних сидений', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Подогрев задних сидений', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Бесключевой доступ', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Обогрев рулевого колеса', 'Обогрев форсунок стеклоомывателя', 'Пакет курильщика', 'Разъем электропитания', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности пассажира с функцией деактивации', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Крепление ISOFIX', 'ЭРА-ГЛОНАСС', 'Натяжитель ремней безопасности', 'Антиблокировочная система (ABS)', 'Система распределения тормозного усилия (EBD)', 'Вспомогательная система торможения (BAS)', 'Автоматическое включение аварийной сигнализации при экстренном торможении', 'Система электронного контроля устойчивости (ESP)', 'Антипробуксовочная система (TCS)', 'Кнопка переключения автомобиля в спортивный режим', 'Ассистент сохранения полосы движения', 'Круиз-контроль', 'Система управления дальним светом', 'Динамическое освещение поворотов', 'Система адаптивного освещения дороги (AFS)', 'Система мониторинга «слепых зон»', 'Система контроля давления в шинах', 'Передний парктроник', 'Задний парктроник', 'Интеллектуальная система помощи при парковке (IPA)', 'Система предотвращения столкновения с функцией автоматического торможения', 'Кондиционер', 'Климат-контроль', 'Радио', 'Поддержка MP3', 'Hands free', 'Джойстик управления мультимедиа', 'Самозатемняющееся зеркало заднего вида', 'Зеркала в противосолнечных козырьках', 'Ящик в багажнике', 'Бортовой компьютер', 'Иммобилайзер', 'Сигнализация', 'Спутниковая противоугонная система', 'Болты-секретки']",4WD,левый,,3.0,,,,1750000,3-Series
внедорожник,BMW,синий,бензин,1.0,,5,2006,,автомат,3.0,231.0,,176000.0,,4WD,левый,,2.0,,,,700000,X5
седан,BMW,бежевый,бензин,5.0,,4,2010,,автомат,2.0,156.0,,184000.0,,задний,левый,,6.0,,,,605000,3-Series
седан,BMW,черный,бензин,6.0,,4,2012,,автомат,4.4,407.0,,116000.0,,4WD,левый,,6.0,,,,1050000,5-Series
седан,BMW,коричневый,бензин,6.0,,4,2013,,автомат,2.0,184.0,,125161.0,,задний,левый,,2.0,,,,895000,3-Series
седан,BMW,серебристый,бензин,5.0,,4,2006,,автомат,3.0,231.0,,234000.0,,задний,левый,,5.0,,,,550000,5-Series
седан,BMW,черный,дизель,6.0,,4,2011,,автомат,3.0,258.0,,141800.0,,4WD,левый,,6.0,,,,1098000,5-Series
внедорожник,BMW,бежевый,бензин,2.0,,5,2007,,автомат,3.0,272.0,,145000.0,,4WD,левый,,4.0,,,,750000,X5
внедорожник,BMW,черный,дизель,2.0,xDrive 30d AT,5,2012,,автомат,3.0,245.0,,102653.0,"['Зимняя комплектация', 'Нагнетатель', 'Поддержка ручного переключения передач', 'Изменение передаточного отношения руля (VGS/VGRS)', 'Электрогидроусилитель руля', 'Спортивная подвеска', 'Пневматическая подвеска', 'Алюминиевые колесные диски', 'Самонесущие шины', 'Система рекуперативного торможения', 'Галогенные фары', 'Ксеноновые фары', 'Омыватели передних фар', 'Передние противотуманные фары', 'Задние противотуманные фонари', 'Датчик света', 'Датчики дождя', 'Боковые зеркала в цвет кузова', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Доводчик двери', 'Ручки дверей в цвет кузова', 'Электропривод багажника', 'Панорамная крыша', 'Рейлинги', 'Задний спойлер', 'Задний дворник', 'Окраска кузова металлик', 'Кожаная оплетка рулевого колеса', 'Регулируемая рулевая колонка', 'Телескопическая регулировка руля', 'Вертикальная регулировка руля', 'Управление аудиосистемой на руле', 'Цветной многофункциональный дисплей', 'Проекционная система показаний спидометра', 'Кнопка запуска двигателя', 'Тканевая обивка салона', 'Кожаная обивка салона', 'Спортивные сиденья', 'Поясничная опора в передних сиденьях', 'Разделительный подлокотник спереди', 'Разделительный подлокотник сзади', 'Электропривод водительского сиденья', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Вентиляция передних сидений', 'Подогрев задних сидений', 'Память расположения сиденья', 'Сиденья с функцией массажа', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Бесключевой доступ', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Обогрев рулевого колеса', 'Обогрев форсунок стеклоомывателя', 'Держатели для бутылок в дверях', 'Разъем электропитания', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности пассажира с функцией деактивации', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Крепление ISOFIX', 'Активный подголовник', 'Кузов повышенной прочности', 'Трехточечный ремень безопасности', 'Натяжитель ремней безопасности', 'Фиксатор ремней безопасности', 'Антиблокировочная система (ABS)', 'Система распределения тормозного усилия (EBD)', 'Вспомогательная система торможения (BAS)', 'Система электронного контроля устойчивости (ESP)', 'Антипробуксовочная система (TCS)', 'Система помощи при спуске с горы (DAC)', 'Переключатель режимов движения', 'Ассистент сохранения полосы движения', 'Круиз-контроль', 'Адаптивный круиз-контроль (ACCS)', 'Система управления дальним светом', 'Система адаптивного освещения дороги (AFS)', 'Система контроля давления в шинах', 'Передний парктроник', 'Задний парктроник', 'Кондиционер', 'Климат-контроль', 'Радио', 'CD-плейер', 'CD-чейнджер', 'DVD-чейнджер', 'Поддержка MP3', 'Hands free', 'Встроенный монитор для пассажиров', 'Система навигации', 'Камера заднего обзора', 'Самозатемняющееся зеркало заднего вида', 'Система памяти в автомобиле и ключе', 'Подсветка при посадке в салон', 'Бортовой компьютер', 'Иммобилайзер', 'Сигнализация', 'Спутниковая противоугонная система']",4WD,левый,,2.0,,,,1679000,X5
внедорожник,BMW,черный,бензин,2.0,xDrive 20i AT Base,5,2018,,автомат,2.0,184.0,,9878.0,"['Зимняя комплектация', 'Нагнетатель', 'Система старт-стоп', 'Поддержка ручного переключения передач', 'Электроусилитель руля', 'Изменение передаточного отношения руля (VGS/VGRS)', 'Спортивная подвеска', 'Алюминиевые колесные диски', 'Самонесущие шины', 'Светодиодные фары', 'Светодиодные ходовые огни', 'Передние противотуманные фары', 'Светодиодные противотуманные фары', 'Cветодиодные задние фонари', 'Дополнительный стоп-сигнал', 'Датчик света', 'Датчики дождя', 'Боковые зеркала в цвет кузова', 'Боковые зеркала с повторителями указателей поворота', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Ручки дверей в цвет кузова', 'Электропривод багажника', 'Обогрев заднего стекла', 'Регулируемый люк', 'Рейлинги', 'Окраска кузова металлик', 'Кожаная оплетка рулевого колеса', 'Регулируемая рулевая колонка', 'Управление аудиосистемой на руле', 'Кнопка запуска двигателя', 'Тканевая обивка салона', 'Комбинированная обивка салона', 'Спортивные сиденья', 'Поясничная опора в передних сиденьях', 'Разделительный подлокотник спереди', 'Разделительный подлокотник сзади', 'Карманы на спинках передних сидений', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Вентиляция передних сидений', 'Подогрев задних сидений', 'Память расположения сиденья', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Бесключевой доступ', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Обогрев рулевого колеса', 'Обогрев форсунок стеклоомывателя', 'Разъем электропитания', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности пассажира с функцией деактивации', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Крепление ISOFIX', 'ЭРА-ГЛОНАСС', 'Антиблокировочная система (ABS)', 'Система распределения тормозного усилия (EBD)', 'Вспомогательная система торможения (BAS)', 'Система электронного контроля устойчивости (ESP)', 'Антипробуксовочная система (TCS)', 'Система помощи при спуске с горы (DAC)', 'Система помощи при старте на подъеме (HAC)', 'Переключатель режимов движения', 'Ассистент сохранения полосы движения', 'Круиз-контроль', 'Адаптивный круиз-контроль (ACCS)', 'Система управления дальним светом', 'Система мониторинга «слепых зон»', 'Индикатор падения давления в шинах', 'Передний парктроник', 'Задний парктроник', 'Интеллектуальная система помощи при парковке (IPA)', 'Климат-контроль', 'Радио', 'Hands free', 'Джойстик управления мультимедиа', 'Система навигации', 'Камера переднего обзора', 'Камеры бокового обзора', 'Камера заднего обзора', 'Самозатемняющееся зеркало заднего вида', 'Зеркала в противосолнечных козырьках', 'Шторка в багажном отделении', 'Бортовой компьютер', 'Сигнализация', 'Болты-секретки', 'Запасное колесо неполноразмерное']",4WD,левый,,2.0,,,,2900000,X4
внедорожник,BMW,белый,дизель,1.0,,5,2016,,автомат,2.0,190.0,,30048.0,,4WD,левый,,2.0,,,,2255000,X4
внедорожник,BMW,черный,бензин,1.0,,5,2018,,автомат,1.5,140.0,,46393.0,,передний,левый,,1.0,,,,1747000,X2
внедорожник,BMW,серый,дизель,2.0,,5,2017,,автомат,3.0,249.0,,50869.0,,4WD,левый,,1.0,,,,3425000,X6
седан,BMW,бежевый,бензин,5.0,,4,2010,,автомат,2.0,156.0,,123454.0,,задний,левый,,2.0,,,,682000,3-Series
седан,BMW,черный,бензин,6.0,,4,2013,,автомат,2.0,184.0,,169840.0,,задний,левый,,2.0,,,,980000,5-Series
седан,BMW,белый,бензин,5.0,320i AT,4,2012,,автомат,2.0,156.0,,85911.0,"['Зимняя комплектация', 'Электрогидроусилитель руля', 'Спортивная подвеска', 'Алюминиевые колесные диски', 'Биксеноновые фары', 'Омыватели передних фар', 'Передние противотуманные фары', 'Датчик света', 'Датчики дождя', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Окраска кузова металлик', 'Кожаная оплетка рулевого колеса', 'Регулируемая рулевая колонка', 'Управление аудиосистемой на руле', 'Кнопка запуска двигателя', 'Тканевая обивка салона', 'Кожаная обивка салона', 'Комбинированная обивка салона', 'Спортивные сиденья', 'Разделительный подлокотник спереди', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Память расположения сиденья', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Электрические стеклоподъемники передние', 'Обогрев рулевого колеса', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности пассажира с функцией деактивации', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Крепление ISOFIX', 'Натяжитель ремней безопасности', 'Антиблокировочная система (ABS)', 'Система распределения тормозного усилия (EBD)', 'Вспомогательная система торможения (BAS)', 'Система электронного контроля устойчивости (ESP)', 'Антипробуксовочная система (TCS)', 'Круиз-контроль', 'Система адаптивного освещения дороги (AFS)', 'Система контроля давления в шинах', 'Парктроник', 'Кондиционер', 'Климат-контроль', 'CD-плейер', 'CD-чейнджер', 'Поддержка MP3', 'Система навигации', 'Самозатемняющееся зеркало заднего вида', 'Бортовой компьютер', 'Иммобилайзер', 'Сигнализация', 'Спутниковая противоугонная система']",задний,левый,,3.0,,,,899000,3-Series
внедорожник,BMW,синий,дизель,3.0,,5,2014,,автомат,3.0,381.0,,83609.0,,4WD,левый,,1.0,,,,3399000,X5
седан,BMW,черный,бензин,4.0,,4,2004,,автомат,6.0,445.0,,115550.0,,задний,левый,,2.0,,,,485000,7-Series
внедорожник,BMW,белый,дизель,2.0,,5,2014,,автомат,2.0,190.0,,57723.0,,4WD,левый,,2.0,,,,1630000,X3
седан,BMW,серый,дизель,7.0,,4,2019,,автомат,2.0,190.0,,1159.0,,задний,левый,,1.0,,,,2690000,5-Series
седан,BMW,черный,дизель,6.0,,4,2019,,автомат,3.0,249.0,,1032.0,,4WD,левый,,1.0,,,,6290000,7-Series
седан,BMW,черный,дизель,5.0,740d AT,4,2011,,автомат,3.0,306.0,,134207.0,"['Нагнетатель', 'Электрогидроусилитель руля', 'Спортивная подвеска', 'Алюминиевые колесные диски', 'Биксеноновые фары', 'Светодиодные ходовые огни', 'Омыватели передних фар', 'Передние противотуманные фары', 'Датчик света', 'Датчики дождя', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Электропривод багажника', 'Кожаная оплетка рулевого колеса', 'Регулируемая рулевая колонка', 'Управление аудиосистемой на руле', 'Тканевая обивка салона', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Память расположения сиденья', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Крепление ISOFIX', 'Антиблокировочная система (ABS)', 'Система электронного контроля устойчивости (ESP)', 'Антипробуксовочная система (TCS)', 'Переключатель режимов движения', 'Климат-контроль', 'Радио', 'Бортовой компьютер']",задний,левый,,4.0,,,,1299000,7-Series
седан,BMW,белый,бензин,4.0,330Ci АT,4,2001,,автомат,3.0,231.0,,230000.0,"['Спортивная подвеска', 'Алюминиевые колесные диски', 'Галогенные фары', 'Ксеноновые фары', 'Омыватели передних фар', 'Передние противотуманные фары', 'Дополнительный стоп-сигнал', 'Датчики дождя', 'Боковые зеркала в цвет кузова', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Ручки дверей в цвет кузова', 'Окраска кузова металлик', 'Кожаная оплетка рулевого колеса', 'Управление аудиосистемой на руле', 'Тканевая обивка салона', 'Кожаная обивка салона', 'Спортивные сиденья', 'Разделительный подлокотник спереди', 'Разделительный подлокотник сзади', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Память расположения сиденья', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Антиблокировочная система (ABS)', 'Вспомогательная система торможения (BAS)', 'Система электронного контроля устойчивости (ESP)', 'Система контроля давления в шинах', 'Задний парктроник', 'Кондиционер', 'Климат-контроль', 'Салонный фильтр', 'Радио', 'Кассетный плейер', 'CD-чейнджер', 'Система навигации', 'Зеркала в противосолнечных козырьках', 'Бортовой компьютер', 'Иммобилайзер', 'Противоугонная система', 'Сигнализация', 'Запасное колесо полноразмерное']",задний,левый,,7.0,,,,650000,3-Series
седан,BMW,белый,бензин,,,4,2014,,автомат,1.6,184.0,,100968.0,,задний,левый,,4.0,,,,897000,3-Series
седан,BMW,синий,бензин,4.0,,4,1998,,,2.5,170.0,,,,задний,левый,,,,,,235000,5-Series
седан,BMW,серебристый,бензин,4.0,,4,2000,,механика,2.5,192.0,,,,задний,левый,,9.0,,,,460000,5-Series
внедорожник,BMW,черный,дизель,1.0,,5,2009,,автомат,3.0,235.0,,235000.0,,4WD,левый,,5.0,,,,1230000,X6
внедорожник,BMW,черный,дизель,,,5,2018,,автомат,3.0,249.0,,14666.0,,4WD,левый,,1.0,,,,4050000,X5
внедорожник,BMW,серый,бензин,1.0,,5,2015,,автомат,2.0,245.0,,63635.0,,4WD,левый,,1.0,,,,2014000,X4
внедорожник,BMW,коричневый,дизель,2.0,,5,2015,,автомат,2.0,190.0,,81050.0,,4WD,левый,,1.0,,,,1650000,X3
внедорожник,BMW,серый,дизель,,,5,2015,,автомат,3.0,249.0,,102305.0,,4WD,левый,,3.0,,,,2300000,X5
внедорожник,BMW,серый,дизель,3.0,xDrive 40d AT M Sport,5,2016,,автомат,3.0,313.0,,93000.0,"['Зимняя комплектация', 'Нагнетатель', 'Система старт-стоп', 'Поддержка ручного переключения передач', 'Электроусилитель руля', 'Изменение передаточного отношения руля (VGS/VGRS)', 'Спортивная подвеска', 'Пневматическая подвеска', 'Алюминиевые колесные диски', 'Самонесущие шины', 'Система рекуперативного торможения', 'Биксеноновые фары', 'Светодиодные фары', 'Светодиодные ходовые огни', 'Омыватели передних фар', 'Передние противотуманные фары', 'Светодиодные противотуманные фары', 'Cветодиодные задние фонари', 'Дополнительный стоп-сигнал', 'Датчик света', 'Датчики дождя', 'Боковые зеркала с повторителями указателей поворота', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Доводчик двери', 'Ручки дверей в цвет кузова', 'Электропривод багажника', 'Остекление с защитой от ультрафиолета', 'Регулируемый люк', 'Рейлинги', 'Задний спойлер', 'Задний дворник', 'Окраска кузова металлик', 'Кожаная оплетка рулевого колеса', 'Регулируемая рулевая колонка', 'Телескопическая регулировка руля', 'Вертикальная регулировка руля', 'Управление аудиосистемой на руле', 'Цветной многофункциональный дисплей', 'Проекционная система показаний спидометра', 'Кнопка запуска двигателя', 'Кожаная обивка салона', 'Спортивные сиденья', 'Поясничная опора в передних сиденьях', 'Разделительный подлокотник спереди', 'Разделительный подлокотник сзади', 'Карманы на спинках передних сидений', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Память расположения сиденья', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Бесключевой доступ', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Обогрев рулевого колеса', 'Пакет курильщика', 'Разъем электропитания', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности пассажира с функцией деактивации', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Крепление ISOFIX', 'ЭРА-ГЛОНАСС', 'Антиблокировочная система (ABS)', 'Система распределения тормозного усилия (EBD)', 'Вспомогательная система торможения (BAS)', 'Система электронного контроля устойчивости (ESP)', 'Антипробуксовочная система (TCS)', 'Система помощи при спуске с горы (DAC)', 'Кнопка переключения автомобиля в спортивный режим', 'Система предотвращения выезда из полосы движения (LKA)', 'Круиз-контроль', 'Система управления дальним светом', 'Система адаптивного освещения дороги (AFS)', 'Система ночного видения с функцией распознавания пешеходов', 'Система мониторинга «слепых зон»', 'Система контроля давления в шинах', 'Передний парктроник', 'Задний парктроник', 'Система предотвращения столкновения с функцией автоматического торможения', 'Двухзонный климат-контроль', 'CD-плейер', 'Встроенный накопитель памяти', 'Поддержка MP3', 'Hands free', 'Джойстик управления мультимедиа', 'Камера переднего обзора', 'Камеры бокового обзора', 'Камера заднего обзора', 'Самозатемняющееся зеркало заднего вида', 'Зеркала в противосолнечных козырьках', 'Шторка в багажном отделении', 'Бортовой компьютер', 'Иммобилайзер', 'Спутниковая противоугонная система', 'Болты-секретки', 'Аптечка', 'Аварийный треугольник', 'Запасное колесо полноразмерное']",4WD,левый,,4.0,,,,2850000,X5
седан,BMW,черный,бензин,6.0,,4,2011,,автомат,3.0,306.0,,183216.0,,4WD,левый,,2.0,,,,990000,5-Series
внедорожник,BMW,черный,бензин,2.0,,5,2019,,автомат,2.0,249.0,,11478.0,,4WD,левый,,1.0,,,,3270000,X4
седан,BMW,синий,бензин,4.0,,4,1998,,механика,2.0,150.0,,322000.0,,задний,левый,,9.0,,,,285000,5-Series
седан,BMW,черный,дизель,6.0,,4,2013,,автомат,2.0,184.0,,178000.0,,4WD,левый,,6.0,,,,848000,3-Series
седан,BMW,голубой,бензин,4.0,,4,2001,,автомат,2.2,170.0,,305000.0,,задний,левый,,9.0,,,,330000,5-Series
седан,BMW,синий,бензин,2.0,,4,2017,,автомат,1.5,136.0,,50541.0,,задний,левый,,1.0,,,,1269000,1-Series
седан,BMW,черный,бензин,2.0,116i AT Базовая,4,2013,,автомат,1.6,136.0,,89360.0,"['Зимняя комплектация', 'Нагнетатель', 'Система старт-стоп', 'Электроусилитель руля', 'Изменение передаточного отношения руля (VGS/VGRS)', 'Спортивная подвеска', 'Самонесущие шины', 'Система рекуперативного торможения', 'Галогенные фары', 'Биксеноновые фары', 'Омыватели передних фар', 'Передние противотуманные фары', 'Боковые зеркала с повторителями указателей поворота', 'Электропривод боковых зеркал', 'Электроподогрев зеркал', 'Регулируемый люк', 'Окраска кузова металлик', 'Кожаная оплетка рулевого колеса', 'Регулируемая рулевая колонка', 'Управление аудиосистемой на руле', 'Цветной многофункциональный дисплей', 'Кнопка запуска двигателя', 'Тканевая обивка салона', 'Кожаная обивка салона', 'Спортивные сиденья', 'Разделительный подлокотник спереди', 'Электропривод передних сидений', 'Электроподогрев передних сидений', 'Память расположения сиденья', 'Центральный замок', 'Ключ ДУ (дистанционный ключ)', 'Электрические стеклоподъемники передние', 'Электрические стеклоподъемники задние', 'Подушка безопасности водительская', 'Подушка безопасности переднего пассажира', 'Подушка безопасности боковая', 'Подушки безопасности-шторки', 'Крепление ISOFIX', 'Натяжитель ремней безопасности', 'Антиблокировочная система (ABS)', 'Система распределения тормозного усилия (EBD)', 'Вспомогательная система торможения (BAS)', 'Автоматическое включение аварийной сигнализации при экстренном торможении', 'Система электронного контроля устойчивости (ESP)', 'Антипробуксовочная система (TCS)', 'Переключатель режимов движения', 'Ассистент сохранения полосы движения', 'Круиз-контроль', 'Система адаптивного освещения дороги (AFS)', 'Парктроник', 'Кондиционер', 'Климат-контроль', 'CD-плейер', 'DVD-чейнджер', 'Поддержка MP3', 'Hands free', 'Система навигации', 'Камера заднего обзора', 'Самозатемняющееся зеркало заднего вида', 'Бортовой компьютер', 'Иммобилайзер', 'Сигнализация']",задний,левый,,1.0,,,,789000,1-Series
внедорожник,BMW,белый,дизель,2.0,,5,2016,,автомат,3.0,249.0,,51303.0,,4WD,левый,,2.0,,,,3029000,X6
седан,BMW,черный,дизель,7.0,,4,2018,,автомат,2.0,190.0,,95000.0,,задний,левый,,1.0,,,,1875000,5-Series
внедорожник,BMW,белый,дизель,3.0,,5,2016,,автомат,3.0,249.0,,74860.0,,4WD,левый,,4.0,,,,2790000,X5
внедорожник,BMW,синий,бензин,3.0,,5,2018,,автомат,2.0,184.0,,36243.0,,4WD,левый,,2.0,,,,2550000,X3
внедорожник,BMW,синий,бензин,,,5,2012,,автомат,4.4,408.0,,87340.0,,4WD,левый,,2.0,,,,1397000,X5
внедорожник,BMW,коричневый,дизель,3.0,,5,2013,,автомат,3.0,249.0,,68308.0,,4WD,левый,,3.0,,,,2285000,X5
